symbol,date,price
Grammar,Jan 2000,39.81
Grammar,Feb 2000,36.35
Grammar,Mar 2000,43.22
Grammar,Apr 2000,28.37
Grammar,May 2000,25.45
Grammar,Jun 2000,32.54
Grammar,Jul 2000,28.4
Grammar,Aug 2000,28.4
Grammar,Sep 2000,24.53
Grammar,Oct 2000,28.02
Grammar,Nov 2000,23.34
Grammar,Dec 2000,17.65
Grammar,Jan 2001,24.84
Grammar,Feb 2001,24
Grammar,Mar 2001,22.25
Grammar,Apr 2001,27.56
Grammar,May 2001,28.14
Grammar,Jun 2001,29.7
Grammar,Jul 2001,26.93
Grammar,Aug 2001,23.21
Grammar,Sep 2001,20.82
Grammar,Oct 2001,23.65
Grammar,Nov 2001,26.12
Grammar,Dec 2001,26.95
Grammar,Jan 2002,25.92
Grammar,Feb 2002,23.73
Grammar,Mar 2002,24.53
Grammar,Apr 2002,21.26
Grammar,May 2002,20.71
Grammar,Jun 2002,22.25
Grammar,Jul 2002,19.52
Grammar,Aug 2002,19.97
Grammar,Sep 2002,17.79
Grammar,Oct 2002,21.75
Grammar,Nov 2002,23.46
Grammar,Dec 2002,21.03
Grammar,Jan 2003,19.31
Grammar,Feb 2003,19.34
Grammar,Mar 2003,19.76
Grammar,Apr 2003,20.87
Grammar,May 2003,20.09
Grammar,Jun 2003,20.93
Grammar,Jul 2003,21.56
Grammar,Aug 2003,21.65
Grammar,Sep 2003,22.69
Grammar,Oct 2003,21.45
Grammar,Nov 2003,21.1
Grammar,Dec 2003,22.46
Grammar,Jan 2004,22.69
Grammar,Feb 2004,21.77
Grammar,Mar 2004,20.46
Grammar,Apr 2004,21.45
Grammar,May 2004,21.53
Grammar,Jun 2004,23.44
Grammar,Jul 2004,23.38
Grammar,Aug 2004,22.47
Grammar,Sep 2004,22.76
Grammar,Oct 2004,23.02
Grammar,Nov 2004,24.6
Grammar,Dec 2004,24.52
Grammar,Jan 2005,24.11
Grammar,Feb 2005,23.15
Grammar,Mar 2005,22.24
Grammar,Apr 2005,23.28
Grammar,May 2005,23.82
Grammar,Jun 2005,22.93
Grammar,Jul 2005,23.64
Grammar,Aug 2005,25.35
Grammar,Sep 2005,23.83
Grammar,Oct 2005,23.8
Grammar,Nov 2005,25.71
Grammar,Dec 2005,24.29
Grammar,Jan 2006,26.14
Grammar,Feb 2006,25.04
Grammar,Mar 2006,25.36
Grammar,Apr 2006,22.5
Grammar,May 2006,21.19
Grammar,Jun 2006,21.8
Grammar,Jul 2006,22.51
Grammar,Aug 2006,24.13
Grammar,Sep 2006,25.68
Grammar,Oct 2006,26.96
Grammar,Nov 2006,27.66
Grammar,Dec 2006,28.13
Grammar,Jan 2007,29.07
Grammar,Feb 2007,26.63
Grammar,Mar 2007,26.35
Grammar,Apr 2007,28.3
Grammar,May 2007,29.11
Grammar,Jun 2007,27.95
Grammar,Jul 2007,27.5
Grammar,Aug 2007,27.34
Grammar,Sep 2007,28.04
Grammar,Oct 2007,35.03
Grammar,Nov 2007,32.09
Grammar,Dec 2007,34
Grammar,Jan 2008,31.13
Grammar,Feb 2008,26.07
Grammar,Mar 2008,27.21
Grammar,Apr 2008,27.34
Grammar,May 2008,27.25
